Birth Date,Birth Place,Death Date,Death Place,Name,URL
1943-8-17,"New York City, New York, USA",,," Robert De Niro
",https://www.imdb.com//name/nm0000134
1937-4-22,"Neptune, New Jersey, USA",,," Jack Nicholson
",https://www.imdb.com//name/nm0000197
1924-4-3,"Omaha, Nebraska, USA",2004-7-1,"Westwood, Los Angeles, California, USA"," Marlon Brando
",https://www.imdb.com//name/nm0000008
1954-12-28,"Mount Vernon, New York, USA",,," Denzel Washington
",https://www.imdb.com//name/nm0000243
1907-5-12,"Hartford, Connecticut, USA",2003-6-29,"Old Saybrook, Connecticut, USA"," Katharine Hepburn
",https://www.imdb.com//name/nm0000031
1899-12-25,"New York City, New York, USA",1957-1-14,"Los Angeles, California, USA"," Humphrey Bogart
",https://www.imdb.com//name/nm0000007
1949-6-22,"Summit, New Jersey, USA",,," Meryl Streep
",https://www.imdb.com//name/nm0000658
1957-4-29,"Greenwich, London, England, UK",,," Daniel Day-Lewis
",https://www.imdb.com//name/nm0000358
1927-2-20,"Miami, Florida, USA",,," Sidney Poitier
",https://www.imdb.com//name/nm0001627
1901-2-1,"Cadiz, Ohio, USA",1960-11-16,"Los Angeles, California, USA"," Clark Gable
",https://www.imdb.com//name/nm0000022
1915-8-29,"Stockholm, Sweden",1982-8-29,"Chelsea, London, England, UK"," Ingrid Bergman
",https://www.imdb.com//name/nm0000006
1956-7-9,"Concord, California, USA",,," Tom Hanks
",https://www.imdb.com//name/nm0000158
1932-2-27,"Hampstead, London, England, UK",2011-3-23,"Los Angeles, California, USA"," Elizabeth Taylor
",https://www.imdb.com//name/nm0000072
1908-4-5,"Lowell, Massachusetts, USA",1989-10-6,"Neuilly-sur-Seine, Hauts-de-Seine, France"," Bette Davis
",https://www.imdb.com//name/nm0000012
1916-4-5,"La Jolla [now in San Diego], California, USA",2003-6-12,"Los Angeles, California, USA"," Gregory Peck
",https://www.imdb.com//name/nm0000060
1974-11-11,"Hollywood, Los Angeles, California, USA",,," Leonardo DiCaprio
",https://www.imdb.com//name/nm0000138
1969-5-14,"Melbourne, Victoria, Australia",,," Cate Blanchett
",https://www.imdb.com//name/nm0000949
1929-5-4,"Ixelles, Brussels, Belgium",1993-1-20,"Tolochenaz, Vaud, Switzerland"," Audrey Hepburn
",https://www.imdb.com//name/nm0000030
1900-4-5,"Milwaukee, Wisconsin, USA",1967-6-10,"Beverly Hills, Los Angeles, California, USA"," Spencer Tracy
",https://www.imdb.com//name/nm0000075
1975-10-5,"Reading, Berkshire, England, UK",,," Kate Winslet
",https://www.imdb.com//name/nm0000701
1965-11-2,"New Delhi, India",,," Shah Rukh Khan
",https://www.imdb.com//name/nm0451321
1965-8-11,"St. Matthews, South Carolina, USA",,," Viola Davis
",https://www.imdb.com//name/nm0205626
1934-9-20,"Rome, Lazio, Italy",,," Sophia Loren
",https://www.imdb.com//name/nm0000047
1904-1-18,"Horfield, Bristol, England, UK",1986-11-29,"Davenport, Iowa, USA"," Cary Grant
",https://www.imdb.com//name/nm0000026
1913-11-5,"Darjeeling, Bengal Presidency, British India [now West Bengal, India]",1967-7-8,"Belgravia, London, England, UK"," Vivien Leigh
",https://www.imdb.com//name/nm0000046
1926-6-1,"Los Angeles, California, USA",1962-8-5,"Los Angeles, California, USA"," Marilyn Monroe
",https://www.imdb.com//name/nm0000054
1907-5-22,"Dorking, Surrey, England, UK",1989-7-11,"Steyning, West Sussex, England, UK"," Laurence Olivier
",https://www.imdb.com//name/nm0000059
1908-5-20,"Indiana, Pennsylvania, USA",1997-7-2,"Los Angeles, California, USA"," James Stewart
",https://www.imdb.com//name/nm0000071
1930-3-24,"Beech Grove, Indiana, USA",1980-11-7,"Ciudad Juárez, Chihuahua, Mexico"," Steve McQueen
",https://www.imdb.com//name/nm0000537
1946-1-5,"Los Angeles, California, USA",,," Diane Keaton
",https://www.imdb.com//name/nm0000473
1967-10-28,"Smyrna, Georgia, USA",,," Julia Roberts
",https://www.imdb.com//name/nm0000210
1962-11-19,"Los Angeles, California, USA",,," Jodie Foster
",https://www.imdb.com//name/nm0000149
1922-6-10,"Grand Rapids, Minnesota, USA",1969-6-22,"Belgravia, London, England, UK"," Judy Garland
",https://www.imdb.com//name/nm0000023
1937-6-1,"Memphis, Tennessee, USA",,," Morgan Freeman
",https://www.imdb.com//name/nm0000151
1925-1-26,"Shaker Heights, Ohio, USA",2008-9-26,"Westport, Connecticut, USA"," Paul Newman
",https://www.imdb.com//name/nm0000056
1905-5-16,"Grand Island, Nebraska, USA",1982-8-12,"Los Angeles, California, USA"," Henry Fonda
",https://www.imdb.com//name/nm0000020
1943-10-22,"Paris, France",,," Catherine Deneuve
",https://www.imdb.com//name/nm0000366
1929-11-12,"Philadelphia, Pennsylvania, USA",1982-9-14,Monaco," Grace Kelly
",https://www.imdb.com//name/nm0000038
1945-7-26,"Hammersmith, London, England, UK",,," Helen Mirren
",https://www.imdb.com//name/nm0000545
1899-7-17,"New York City, New York, USA",1986-3-30,"Stanfordville, New York, USA"," James Cagney
",https://www.imdb.com//name/nm0000010
1958-8-16,"New York City, New York, USA",,," Angela Bassett
",https://www.imdb.com//name/nm0000291
1963-6-9,"Owensboro, Kentucky, USA",,," Johnny Depp
",https://www.imdb.com//name/nm0000136
1905-9-18,"Stockholm, Stockholms län, Sweden",1990-4-15,"New York City, New York, USA"," Greta Garbo
",https://www.imdb.com//name/nm0001256
1916-7-1,"Tokyo, Japan",2020-7-26,"Paris, France"," Olivia de Havilland
",https://www.imdb.com//name/nm0000014
