Name,Birth Date,Birth Date(Date Time),Birth Place,Death Date,Death Date(Date Time),Death Place,URL,Age
 Robert De Niro,1943-8-17,1943-08-17,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0000134,77
 Jack Nicholson,1937-4-22,1937-04-22,"Neptune, New Jersey, USA",,,,https://www.imdb.com//name/nm0000197,84
 Marlon Brando,1924-4-3,1924-04-03,"Omaha, Nebraska, USA",2004-7-1,2004-07-01,"Westwood, Los Angeles, California, USA",https://www.imdb.com//name/nm0000008,80
 Denzel Washington,1954-12-28,1954-12-28,"Mount Vernon, New York, USA",,,,https://www.imdb.com//name/nm0000243,66
 Katharine Hepburn,1907-5-12,1907-05-12,"Hartford, Connecticut, USA",2003-6-29,2003-06-29,"Old Saybrook, Connecticut, USA",https://www.imdb.com//name/nm0000031,96
 Humphrey Bogart,1899-12-25,1899-12-25,"New York City, New York, USA",1957-1-14,1957-01-14,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000007,57
 Meryl Streep,1949-6-22,1949-06-22,"Summit, New Jersey, USA",,,,https://www.imdb.com//name/nm0000658,72
 Daniel Day-Lewis,1957-4-29,1957-04-29,"Greenwich, London, England, UK",,,,https://www.imdb.com//name/nm0000358,64
 Sidney Poitier,1927-2-20,1927-02-20,"Miami, Florida, USA",,,,https://www.imdb.com//name/nm0001627,94
 Clark Gable,1901-2-1,1901-02-01,"Cadiz, Ohio, USA",1960-11-16,1960-11-16,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000022,59
 Ingrid Bergman,1915-8-29,1915-08-29,"Stockholm, Sweden",1982-8-29,1982-08-29,"Chelsea, London, England, UK",https://www.imdb.com//name/nm0000006,67
 Tom Hanks,1956-7-9,1956-07-09,"Concord, California, USA",,,,https://www.imdb.com//name/nm0000158,65
 Elizabeth Taylor,1932-2-27,1932-02-27,"Hampstead, London, England, UK",2011-3-23,2011-03-23,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000072,79
 Bette Davis,1908-4-5,1908-04-05,"Lowell, Massachusetts, USA",1989-10-6,1989-10-06,"Neuilly-sur-Seine, Hauts-de-Seine, France",https://www.imdb.com//name/nm0000012,81
